username,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus,crm,crn,nts_nts,fm,vandal
Cassidymaddison,0,0,1,0,0,0,0,0,1,0,0,0,0
Ladiesman38,0,0,0,1,0,1,1,0,0,1,0,0,1
FIRSTLIGHT1234,0,0,0,1,0,1,1,0,0,1,0,0,1
Yodasearhairs,0,0,0,1,1,0,0,0,0,1,0,0,1
Martinlutherkingwasilluminati,0,0,0,0,0,1,0,0,0,1,0,0,1
ChrisatVitra,0,0,0,0,0,0,0,0,0,0,0,1,0
Pipistrellus,0,1,1,0,0,0,0,0,1,0,0,1,0
Llama of knowledge,0,0,1,0,0,0,0,0,1,0,0,1,0
Benny1909,0,0,0,1,0,1,1,0,0,1,0,0,1
Joshuajklol,1,0,1,0,0,0,0,0,1,0,0,1,0
LINKHYRULEZBALLZ,0,0,1,0,0,1,1,0,1,1,0,0,1
Natalierosecowan,0,0,0,1,0,1,1,0,0,1,0,0,1
Raykid3610,0,0,0,1,0,0,0,0,0,1,0,0,1
Swaglol1234,0,0,0,0,0,1,0,0,0,1,0,0,1
Bald white guy,1,1,1,1,1,1,1,0,1,1,1,1,0
Shanner123,0,0,0,1,0,0,0,0,0,1,0,0,1
OhHaiImThatGuy,1,0,0,0,0,0,0,0,1,0,0,1,1
Daler123,0,0,0,1,1,1,1,0,0,1,0,0,1
Ylli-this,1,0,0,0,0,0,0,0,1,0,0,1,0
Killergar,0,0,0,0,0,1,1,0,0,1,0,0,1
POOPIEMAN123,1,0,0,0,0,0,0,0,1,0,0,1,1
Rionski,0,0,0,0,0,1,0,0,0,1,0,0,1
Misunderstood Lucky,0,1,1,0,0,0,1,0,1,0,0,1,0
Sjcyoung,1,0,0,1,1,1,1,0,1,1,0,0,0
Rabbdabanda,1,0,1,0,0,0,1,0,1,0,0,0,0
Davidcam38,1,0,0,0,0,0,0,0,1,0,0,1,1
Adadasdsads,0,0,0,1,0,1,1,0,0,1,0,0,1
Cheesycrackers,0,0,0,1,0,1,0,0,0,1,0,0,1
Ugggag,1,1,0,0,0,0,0,0,1,0,0,0,0
John Pooper,0,1,1,0,0,0,1,0,1,0,0,0,1
Matthewinner2,0,0,0,1,0,1,1,0,0,1,0,0,1
Sunny7338,1,0,1,1,1,1,1,0,1,1,1,0,0
Vgvjgbjnbbghfhb,0,0,0,1,1,1,1,0,0,1,0,0,1
Nintendoweek,0,0,0,1,1,1,0,0,0,1,1,0,1
Bruno rocca,0,0,0,1,0,0,0,0,0,1,0,0,0
Heyitsmax,0,0,0,0,0,0,0,0,0,0,0,1,0
Thefinnishtruth,0,0,0,1,0,1,1,0,0,1,0,0,1
Thai32,0,0,0,0,0,0,0,0,0,0,0,0,1
Cubanboy321,0,0,0,1,0,1,1,0,0,1,1,1,1
DOMA MAN-IZ-THE~best,0,0,0,1,0,0,0,0,0,1,0,0,1
TheMorganBerry,1,1,1,0,0,0,1,0,1,0,0,1,0
Petewok,0,0,1,1,0,1,1,0,1,1,1,1,0
Saxlegend,0,0,0,0,0,1,0,0,0,1,0,0,1
Fisherdude8,0,0,0,0,0,1,0,0,0,1,0,0,1
Misskenendy2011,0,0,0,0,0,1,1,0,0,1,0,0,1
TomHallWithABall,0,0,0,1,1,0,0,0,0,1,0,0,1
The King of Hip Hop,0,1,1,0,0,0,0,0,1,0,0,1,0
Chelsey.kjelland.2,1,1,1,0,0,1,1,0,1,1,0,1,0
Alejandra Sotres,0,0,1,1,0,0,0,0,1,1,0,1,0
SAMI.Bot,1,0,1,0,0,0,1,0,1,0,0,1,0
Kingnasv,0,0,0,0,0,0,0,0,0,0,0,0,0
Mars carabio,1,0,1,0,0,0,1,0,1,0,0,1,0
Billy4554,1,0,0,0,0,0,0,0,1,0,0,1,0
Talal Hassan,0,1,0,0,0,0,0,0,1,0,0,1,0
A. J. Abbasi,0,0,0,0,0,0,0,0,0,0,0,1,1
Boring Spassky,0,0,0,0,0,0,0,0,0,0,0,1,0
Blogwire Media,0,1,1,0,0,0,0,0,1,0,0,1,0
RevengeOfBHS,0,0,0,1,1,1,0,0,0,1,0,0,1
Kudiz15,1,1,1,1,1,1,1,1,1,1,1,1,1
Explorethedepths,0,0,0,1,0,1,1,0,0,1,0,0,1
Iran.Malaysia Business Council,0,0,1,0,0,0,1,0,1,0,0,1,0
Hemelehem,0,0,0,1,0,1,1,0,0,1,0,0,1
SeanTheMastodon,0,1,1,1,1,1,1,1,1,1,1,0,0
Uhluhtc666,1,1,1,0,0,0,0,0,1,0,0,1,0
Zed.kayani,0,0,0,1,0,0,0,0,0,1,0,0,0
Info por favor,1,1,1,1,1,1,1,1,1,1,1,1,0
Edito83,0,0,0,1,0,1,1,0,0,1,1,1,0
Samipie,0,0,0,0,0,1,1,0,0,1,0,1,0
Fr3nzical,0,0,0,0,0,1,0,0,0,1,0,1,0
Wikitroller13,0,0,0,0,0,0,0,0,0,0,0,0,1
Siobhan0621,1,1,1,0,0,0,1,0,1,0,0,1,0
SarahShoshana,0,0,0,1,0,1,1,0,0,1,0,0,1
Ath271,1,1,1,1,1,1,1,0,1,1,1,0,0
Kevin12cd,0,0,0,0,0,1,1,0,0,1,0,0,1
Yualmer,0,0,0,1,0,1,1,0,0,1,0,0,1
IROCKS1234,0,0,0,0,0,1,1,0,0,1,0,0,1
Leonore Barfield,1,1,1,0,0,0,0,0,1,0,0,1,0
Daddio0z,0,0,0,1,0,1,1,0,0,1,0,0,1
Swish5330,0,0,0,1,0,1,1,0,0,1,0,0,1
HashtagHEEL,0,1,0,0,0,0,0,0,1,0,1,0,1
Gemsandu,1,1,1,0,0,0,1,0,1,0,0,1,0
Batmanbiatch,0,0,0,0,0,1,0,0,0,1,0,0,1
Onlinejalgaon,1,0,1,0,0,0,1,0,1,0,0,1,0
Balti sahib,0,0,1,1,0,1,0,1,1,1,1,0,0
S90ra,1,1,1,1,1,1,1,0,1,1,1,0,0
Kingrobertalex,0,0,1,0,0,0,1,0,1,0,0,1,0
Sjdn4jd 49fnf,0,0,0,0,0,0,0,0,0,0,0,0,1
Louie Louiie,0,1,1,0,0,0,0,0,1,0,0,1,0
Its3mKHD,0,0,0,1,0,1,0,0,0,1,0,0,1
Bmuperle,1,1,1,0,0,0,1,0,1,0,0,1,0
Jwilson1211,0,0,0,0,0,1,0,0,0,1,0,1,0
Closerinpex,0,0,0,0,0,1,0,0,0,1,0,1,0
Jsprocks101,1,1,1,1,1,1,1,0,1,1,1,0,1
Brianjoseff,0,1,1,1,1,1,1,0,1,1,0,0,0
Sabresfan9715,0,0,0,0,0,0,0,0,0,0,0,1,1
Chineesegamertag,0,0,0,0,0,1,0,0,0,1,0,0,1
ArrogantIrishman,0,0,0,0,0,1,0,0,0,1,0,1,0
BearingTechnology,1,1,1,1,1,1,1,0,1,1,1,0,0
ShiftyMitch,0,0,1,0,1,0,0,0,1,1,0,1,0
Ungenius,0,0,1,0,0,0,0,0,1,0,0,1,0
Mt1720,1,0,1,1,1,1,1,0,1,1,1,1,0
Alysha1,0,0,1,1,0,1,1,1,1,1,0,1,0
LunaticNoir,1,1,1,0,0,0,1,0,1,0,0,0,0
G-Boson,0,0,0,1,0,1,1,0,0,1,1,0,0
Desirockerz,1,0,1,1,1,1,1,1,1,1,1,0,0
Jameswaltz,0,0,0,1,0,0,0,0,0,1,0,0,1
Hellozejaykay,0,0,0,1,1,1,0,0,0,1,0,0,1
Mussoels,1,1,1,1,0,0,1,0,1,1,0,1,0
TheGpop,1,1,1,0,0,0,0,0,1,0,0,1,0
Brian Rapson,1,0,1,1,1,1,1,0,1,1,0,1,0
Ilikepieandstuff,0,0,0,1,0,1,1,0,0,1,0,0,1
Redcack,0,0,0,0,0,0,0,0,0,0,0,0,1
Uki Agustian,0,1,1,0,0,0,0,0,1,0,0,1,0
CCAOI,1,1,1,0,0,0,1,0,1,0,0,1,0
Cdp;hdsniozfhpdhjpios,0,0,0,0,0,1,1,0,0,1,0,0,1
Grewaljatt,0,0,0,1,1,1,1,0,0,1,0,0,1
Andysummers08,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr. D - Doddy Hernanto,0,1,1,0,0,0,1,0,1,0,0,1,0
Bob21345,0,0,0,0,0,1,1,0,0,1,0,0,1
Wikinips,0,0,0,1,0,1,1,0,0,1,0,0,1
The champp7789,0,0,0,1,0,0,0,0,0,1,0,0,1
Puppylover1992,0,0,1,1,1,1,1,0,1,1,0,1,0
OlmaWhitehous3,0,0,0,0,0,0,0,0,0,0,0,0,1
Awsomeman0000,0,0,1,1,0,0,1,0,1,1,0,1,1
Erehtolleh,0,0,0,1,1,1,1,0,0,1,1,0,0
HaHaHaHaHAhello,0,0,0,0,0,1,1,0,0,1,0,0,1
Dragonboyrazor,0,0,0,1,0,1,1,0,0,1,0,0,1
Asdkjg,0,0,0,0,0,0,0,0,0,0,0,0,1
Hgfhjgfjkhg,0,0,0,1,0,0,0,0,0,1,0,0,1
Chococotu07,0,0,0,1,0,1,1,0,0,1,0,0,1
Bengrant10,0,0,0,0,1,1,1,0,0,1,0,0,1
Ntiiaarlal,0,0,1,0,0,1,1,0,1,1,0,0,0
Ninjaboos,0,0,0,1,1,1,1,0,0,1,1,0,1
Gkafaf1,1,1,1,0,0,0,1,0,1,0,0,1,0
KhanTheDestroyer,0,0,0,0,0,0,0,0,0,0,0,0,1
Gsmith03,0,0,0,1,1,1,0,0,0,1,1,0,1
Wintaburr,1,0,1,1,1,1,1,0,1,1,1,0,0
Broamry,0,0,0,0,0,0,0,0,0,0,1,0,1
TheFort27,0,0,0,1,1,0,0,0,0,1,0,0,1
ACGCA,0,0,0,0,0,0,0,0,0,0,0,1,0
Gonner,0,0,1,0,1,1,1,0,1,1,0,0,0
Ljmonsters,1,0,1,1,1,1,1,0,1,1,0,0,0
Ahurt22,0,0,0,0,1,0,0,0,0,1,0,0,1
KathrynHKlos2,1,1,1,1,1,1,1,0,1,1,1,0,0
Coucou64,0,0,0,0,0,1,0,0,0,1,1,0,1
Jwinsser,0,0,0,0,1,1,0,0,0,1,0,0,1
Akdfhal,0,0,0,1,0,1,0,0,0,1,0,0,1
Suziecha,0,0,0,1,0,1,1,0,0,1,0,0,0
Rkatkgkqslekfkawnl,0,0,0,0,1,0,0,0,0,1,0,0,1
Barrelhouse chuck,0,0,0,1,1,1,1,0,0,1,0,0,0
Lewismacdonaldcock,0,0,0,0,0,0,0,0,0,0,0,0,1
Lukecjp,0,0,0,0,0,1,1,0,0,1,0,0,1
LukeBK,1,1,1,1,1,1,1,0,1,1,1,0,0
Joshua scrase3,0,0,0,0,0,1,0,0,0,1,0,0,1
Khorto3,1,1,1,1,1,0,1,0,1,1,0,1,0
Dportwood,0,0,0,1,1,1,0,0,0,1,1,0,1
Mmgtdwstlfssls,0,1,0,0,0,1,1,0,1,1,0,1,1
Jimmybunnet,0,0,0,1,0,1,0,0,0,1,0,0,1
Shahira H. Fahmy,1,0,0,0,0,0,0,0,1,0,0,1,0
Meandsavannah91,1,1,1,0,0,0,1,0,1,0,0,1,0
Swagyolomaster6969,0,0,0,0,0,1,0,0,0,1,0,0,1
Ashleyleia,0,1,0,1,1,1,1,1,1,1,1,1,0
OFFICALMarlaGlen,0,0,1,0,0,0,0,0,1,0,0,1,0
Freakforever,1,1,1,0,0,0,1,0,1,0,0,1,0
Tangopapa79,0,0,0,1,1,1,1,0,0,1,0,0,0
Cdizzlecashmoney38,0,0,0,0,0,1,0,0,0,1,0,0,1
Bobbyboggs182,0,0,0,1,0,0,0,0,0,1,0,0,1
Pipsqueak13,1,1,1,0,0,0,1,0,1,0,0,1,0
Loluuye838729823yugbriaan,0,0,0,1,0,1,1,0,0,1,0,0,1
Benis96,1,1,1,0,0,1,1,0,1,1,0,0,0
Paolopinpin,0,0,0,1,0,1,1,0,0,1,0,0,1
Karol is boss,0,0,0,1,0,1,1,0,0,1,0,0,1
Nice person 83,0,0,0,1,1,1,1,0,0,1,0,0,1
HarderResearch,1,1,1,0,0,1,1,0,1,1,1,1,0
Thulinhcford,0,0,0,0,0,0,0,0,0,0,0,0,0
Bjornturoq,1,1,1,0,0,0,1,0,1,0,0,0,0
Aaron Aim,1,0,0,1,0,0,0,0,1,1,0,0,0
DimonF,0,0,0,0,0,0,0,0,0,0,0,0,1
Ches85,0,0,0,1,0,0,1,0,0,1,0,0,1
My heart will go on,0,0,0,1,0,0,0,0,0,1,0,0,1
Crazyckick,0,0,0,1,1,1,1,0,0,1,0,0,1
Kp388,1,1,1,0,0,0,1,0,1,0,0,1,0
Hebster1,0,0,0,1,0,1,1,0,0,1,0,0,1
Football boys,0,0,1,1,1,1,1,0,1,1,1,0,1
TheoryofSexuality,1,1,1,1,1,1,1,0,1,1,1,0,0
Physorgchem13,1,1,1,1,0,1,1,1,1,1,0,1,0
Robbiew1998,0,0,0,1,0,1,1,0,0,1,1,0,1
Rashedahmedkhan,0,0,1,0,0,0,0,0,1,0,0,1,0
Bradleyhowell9,0,0,0,0,0,0,0,0,0,0,0,0,1
Fyuisa8vbgsbdv,0,0,0,0,0,0,0,0,0,0,0,0,1
MarinasDiamonds,0,0,0,1,0,1,1,0,0,1,0,0,1
Idkwhattoputhere,0,0,0,1,0,0,0,0,0,1,0,0,1
Lgaqucec,0,0,0,1,0,1,1,0,0,1,0,0,0
Clarisselitiatco,1,1,1,1,1,1,1,0,1,1,0,0,0
Anoymous69,0,0,0,0,1,1,0,0,0,1,1,0,1
Dankmastaflex,0,0,0,0,0,1,1,0,0,1,0,0,1
KylieBrooks,0,0,1,1,0,1,1,0,1,1,0,1,0
Tara dodson,1,1,1,0,1,0,1,0,1,1,0,1,0
Layaway2waste,0,0,0,1,0,1,1,0,0,1,0,0,0
Machinehead61,1,1,1,1,1,1,1,0,1,1,1,1,0
Textcheese,0,0,0,0,0,1,1,0,0,1,0,0,1
Aodhangb,0,0,0,1,0,1,1,0,0,1,0,0,1
Jmari0818,1,1,1,0,0,0,1,0,1,0,0,1,0
Buttbutbut,0,0,0,0,0,0,0,0,0,0,0,0,1
Hansestd,1,1,1,0,0,0,1,0,1,0,0,1,0
Melindaross,0,1,1,0,1,1,1,0,1,1,0,0,0
Username66669976,0,0,0,0,0,1,0,0,0,1,0,0,1
Jekuhn1,0,0,1,0,0,0,1,0,1,0,0,1,0
Kathykrill1947,0,0,0,1,0,0,0,0,0,1,0,0,0
Tauqeer Tariq,0,1,0,0,0,0,0,0,1,0,0,1,0
Adi3123,0,0,0,0,0,0,0,0,0,0,0,0,1
Vmanjarrez,1,1,1,0,0,1,1,0,1,1,0,1,0
SheanoSheano,0,0,1,0,0,0,1,0,1,0,0,1,0
Kawanyewest,0,0,0,1,0,1,0,0,0,1,0,0,1
Angst1005,0,1,0,1,1,1,1,0,1,1,1,0,1
Ymd2004,0,0,1,1,1,1,1,0,1,1,1,0,0
Aiby joby,0,1,0,0,0,0,0,0,1,0,0,1,0
Cptmrmcmillan,1,0,0,1,1,1,1,1,1,1,1,0,0
SavageLife863,0,1,1,1,0,0,1,0,1,1,0,0,0
Solomon Mercado3,0,0,0,1,1,0,0,0,0,1,1,0,1
Anonymousovereverthing,0,0,1,1,0,0,1,0,1,1,0,0,1
Lahme4ever,0,0,0,0,0,0,0,0,0,0,0,0,1
Jameswonderland,1,0,1,0,0,1,0,0,1,1,0,0,0
Caterpillar97,0,0,0,0,0,0,0,0,0,0,0,0,1
Crazycat345,0,0,0,0,0,1,0,0,0,1,0,0,1
WillyBumWalker,0,0,0,1,0,1,1,0,0,1,0,0,1
Saurabh4181,1,0,1,0,0,0,1,0,1,0,0,1,0
ChrisgXD,0,0,0,1,1,1,0,0,0,1,0,0,1
Roardle,1,0,0,1,1,1,1,0,1,1,1,0,0
Elf X,0,1,0,0,0,0,0,0,1,0,0,1,0
Tommy95530,1,0,1,1,0,1,1,0,1,1,0,0,0
KaminariTheFirst,0,0,0,0,0,1,1,0,0,1,0,1,0
Gtetgdgyts,1,0,0,0,0,0,0,0,1,0,0,1,1
Keyo26,1,1,1,0,0,0,1,0,1,0,0,1,0
Mexisdesign,0,1,1,0,0,0,1,0,1,0,0,1,0
PraveenDhuri,0,1,0,0,0,0,0,0,1,0,0,1,0
Hallw025,0,0,0,1,0,1,1,0,0,1,0,0,1
Tomdonnelly,0,0,0,0,0,1,0,0,0,1,0,0,1
Gyamanis,0,0,0,0,0,0,0,0,0,0,0,1,0
RedSoxStudent,0,0,0,0,0,1,0,0,0,1,0,0,1
Jeulina,0,0,0,0,0,0,0,0,0,0,0,0,1
ForeverLoveHetalia,0,0,0,0,0,1,0,0,0,1,0,0,1
Blumpkin1,0,0,0,0,0,1,0,0,0,1,0,0,1
THE EVIL CHEESE,0,0,1,0,0,1,1,0,1,1,0,0,1
Vulpicida,0,1,0,0,0,1,1,0,1,1,0,1,0
Mathscinet,0,0,0,0,0,0,0,0,0,0,0,1,0
MrBauer24,1,0,0,0,0,1,0,0,1,1,0,1,0
Boo ya koo,0,0,0,0,0,0,0,0,0,0,0,1,1
Theamazinghammeringman123,0,0,0,0,1,0,0,0,0,1,0,0,1
Jackgba,1,0,1,0,0,1,1,0,1,1,0,1,0
Nasrullahkhan55,1,0,0,0,0,0,0,0,1,0,0,1,0
KJE123,0,0,0,1,0,1,1,0,0,1,0,0,1
SachiPaulete,0,1,1,0,1,0,0,0,1,1,0,1,0
Southwaleslady,0,0,0,0,1,0,0,0,0,1,0,1,0
BilboBaggins1234567890,0,0,0,0,1,0,0,0,0,1,0,0,1
Psppsp7,0,0,0,1,0,1,1,0,0,1,0,0,1
Skyrim man,0,1,1,0,0,0,0,0,1,0,0,1,1
DrVentureWasRight,1,0,1,1,1,1,1,0,1,1,1,0,0
Dharmawangilang,0,0,0,1,0,1,1,0,0,1,0,0,1
Axmbaxm,1,1,1,0,0,1,1,0,1,1,0,1,0
Jasong1337,0,0,0,1,1,0,0,0,0,1,0,0,1
Amanwithoutaface,1,0,0,0,0,0,0,0,1,0,0,1,0
Sfgal82,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranjan95097,1,0,1,0,0,0,0,0,1,0,0,1,0
GoMinU,0,0,0,1,1,1,1,0,0,1,1,1,0
Cadets4Lyf,0,0,0,1,0,0,0,0,0,1,0,0,1
Oli21,0,0,0,0,0,1,0,0,0,1,0,0,1
Jame$ pro,0,1,1,1,1,1,1,1,1,1,1,1,1
Bigbooty24,0,0,0,0,0,1,0,0,0,1,0,0,1
Mushtaqshiekh,1,1,1,0,0,0,1,0,1,0,0,1,0
Comradedolike,1,0,0,0,0,1,1,0,1,1,0,0,0
